userid,group,page,data,time_created
user_176,chatxai,consent,"{""mlbackground"": ""true"", ""userAgreement2"": ""true""}",2023-07-05 15:31:54.243 +0200
user_176,chatxai,ati,"{""ati1"": ""4"", ""ati2"": ""5"", ""ati3"": ""2"", ""ati4"": ""5"", ""ati5"": ""5"", ""ati6"": ""2"", ""ati7"": ""4"", ""ati8"": ""2"", ""ati9"": ""5"", ""attnAti"": ""5""}",2023-07-05 15:32:57.991 +0200
user_176,chatxai,training_decisiontree,{},2023-07-05 15:34:01.308 +0200
user_176,chatxai,training_decisiontree_gif,{},2023-07-05 15:34:20.731 +0200
user_176,chatxai,training_shap,{},2023-07-05 15:34:42.739 +0200
user_176,chatxai,training_shap_gif,{},2023-07-05 15:35:45.092 +0200
user_176,chatxai,training_pdp,{},2023-07-05 15:36:33.519 +0200
user_176,chatxai,training_pdp_gif,{},2023-07-05 15:36:38.828 +0200
user_176,chatxai,training_mace,{},2023-07-05 15:36:51.971 +0200
user_176,chatxai,training_mace_gif,{},2023-07-05 15:36:53.739 +0200
user_176,chatxai,training_whatif,{},2023-07-05 15:37:06.592 +0200
user_176,chatxai,training_whatif_gif,{},2023-07-05 15:37:15.667 +0200
user_176,chatxai,atiExplanationTest,"{""atiExplainerQuestion"": ""5""}",2023-07-05 15:37:40.067 +0200
user_28,chatxai,consent,"{""mlbackground"": ""false"", ""userAgreement2"": ""true""}",2023-07-05 15:38:21.129 +0200
user_28,chatxai,ati,"{""ati1"": ""5"", ""ati2"": ""4"", ""ati3"": ""4"", ""ati4"": ""3"", ""ati5"": ""4"", ""ati6"": ""3"", ""ati7"": ""5"", ""ati8"": ""4"", ""ati9"": ""4"", ""attnAti"": ""5""}",2023-07-05 15:38:59.761 +0200
user_28,chatxai,training_decisiontree,{},2023-07-05 15:39:48.752 +0200
user_176,chatxai,training_pre,"{""beforeExplainDecision"": ""true"", ""beforeExplainFeatures"": [""Loan Amount Term"", ""Applicant Income"", ""Dependents""], ""beforeExplainConfidence"": ""5""}",2023-07-05 15:39:49.346 +0200
user_28,chatxai,training_decisiontree_gif,{},2023-07-05 15:40:04.123 +0200
user_28,chatxai,training_shap,{},2023-07-05 15:40:45.107 +0200
user_169,chatxai,consent,"{""mlbackground"": ""false"", ""userAgreement2"": ""true""}",2023-07-05 15:40:49.682 +0200
user_28,chatxai,training_shap_gif,{},2023-07-05 15:41:03.904 +0200
user_67,chatxai,consent,"{""mlbackground"": ""false"", ""userAgreement2"": ""true""}",2023-07-05 15:41:19.765 +0200
user_188,chatxai,consent,"{""mlbackground"": ""false"", ""userAgreement2"": ""true""}",2023-07-05 15:41:42.124 +0200
user_28,chatxai,training_pdp,{},2023-07-05 15:41:44.362 +0200
user_67,chatxai,ati,"{""ati1"": ""3"", ""ati2"": ""4"", ""ati3"": ""4"", ""ati4"": ""5"", ""ati5"": ""4"", ""ati6"": ""2"", ""ati7"": ""4"", ""ati8"": ""4"", ""ati9"": ""4"", ""attnAti"": ""5""}",2023-07-05 15:41:56.423 +0200
user_28,chatxai,training_pdp_gif,{},2023-07-05 15:41:56.428 +0200
user_40,chatxai,consent,"{""mlbackground"": ""false"", ""userAgreement2"": ""true""}",2023-07-05 15:42:06.794 +0200
user_28,chatxai,training_mace,{},2023-07-05 15:42:13.452 +0200
user_218,chatxai,consent,"{""mlbackground"": ""true"", ""userAgreement2"": ""true""}",2023-07-05 15:42:21.168 +0200
